Date,Close,High,Low,Open,Volume
2021-11-08,147.0757446,148.1804795,146.8020074,148.0240539,55020900
2021-11-09,147.437439,148.0435692,146.7042112,146.8410798,56787900
2021-11-10,144.6120758,146.7726603,144.543649,146.6651197,65187100
2021-11-11,144.5631866,146.0882981,144.3774332,145.6288224,41000000
2021-11-12,146.6358032,147.0366231,144.1819244,145.1106767,63804000
2021-11-15,146.6455231,148.4834851,146.0882629,147.0072439,59222800
2021-11-16,147.6231842,148.1022317,146.0003032,146.5868914,59256200
2021-11-17,150.0575256,151.5337523,147.6134329,147.6232039,88807000
2021-11-18,154.3395691,155.1216818,149.6273659,150.27261,137827700
2021-11-19,156.9596252,157.4191158,153.0295203,154.124469,117305600
2021-11-22,157.4191589,161.9944942,157.399602,158.0643882,117467900
2021-11-23,157.800415,158.1816929,155.5029618,157.5168919,96041900
2021-11-24,158.3185425,158.5140669,156.0699743,157.155152,69463600
2021-11-26,153.3032379,156.8618356,152.8633043,156.0015253,76959800
2021-11-29,156.656601,157.5853534,155.239015,155.8060464,88748200
2021-11-30,161.6034088,161.8184902,156.3437167,156.4121584,174048100
2021-12-01,161.0852509,166.4915822,160.8506126,163.7346387,152052500
2021-12-02,160.0978241,160.5279867,154.2711161,155.1900973,136739200
2021-12-03,158.2207947,161.2710328,156.1482087,160.3520514,118023100
2021-12-06,161.6229401,164.1256881,160.6061893,160.6159603,107497000
2021-12-07,167.351944,167.7430078,164.5754576,165.2989146,120405400
2021-12-08,171.1646881,172.0250134,166.8826333,168.2806619,116998900
2021-12-09,170.6563568,172.7973848,170.0306696,170.9985358,108923700
2021-12-10,175.4369507,175.6129331,170.7834041,171.2917795,115402700
2021-12-13,171.8099213,178.0570207,171.6046109,177.0695979,153237000
2021-12-14,170.431488,173.7652343,168.358902,171.3309124,139380400
2021-12-15,175.2903137,175.4858381,168.4566259,171.1940124,131063300
2021-12-16,168.4077606,177.0891828,166.931534,175.2707772,150185800
2021-12-17,167.3127899,169.5906858,165.8952193,166.1298426,195432700
2021-12-20,165.9539032,166.7653438,163.7151207,164.5167754,107499100
2021-12-21,169.1214447,169.3267401,165.337979,167.7234159,91185900
2021-12-22,171.7121887,171.9272701,168.3002297,169.1703262,92135300
2021-12-23,172.3378601,172.8951204,171.350452,171.9174833,68356600
2021-12-27,176.2972717,176.3852555,173.1101807,173.1297227,74919600
2021-12-28,175.2805328,177.2749207,174.5375341,176.1310872,79144300
2021-12-29,175.3685608,176.5906073,174.1562853,175.3196759,62348900
2021-12-30,174.2149048,176.5319145,174.1073641,175.4565079,59773000
2021-12-31,173.5990295,175.2218958,173.2959495,174.1073901,64062300
2022-01-03,177.9397125,178.7902669,173.7358852,173.8531969,104487900
2022-01-04,175.6813965,178.8489463,175.1143651,178.5458811,99310400
2022-01-05,171.0082703,176.1408648,170.7345331,175.5933904,94537600
2022-01-06,168.1535797,171.3797851,167.8016298,168.8379227,96904000
2022-01-07,168.3197632,170.2457093,167.2052576,169.023663,86709100
2022-01-10,168.339325,168.64239,164.4092199,165.2988731,106765600
2022-01-11,171.1646881,171.2624429,166.9999599,168.4664154,76138300
2022-01-12,171.6046143,173.2177093,170.9105004,172.1814165,74805200
2022-01-13,168.339325,172.6702499,167.9482612,171.8490384,84505800
2022-01-14,169.1996613,169.8937752,167.263929,167.5083383,80440800
2022-01-18,166.0027771,168.6814931,165.6214992,167.6745281,90956700
2022-01-19,162.512619,167.2541652,162.2291108,166.1983152,94815000
2022-01-20,160.8310547,165.8854361,160.5084327,163.2458192,91420500
2022-01-21,158.7780457,162.6103813,158.670505,160.7430909,122848900
2022-01-24,158.0056763,158.6704771,151.2404305,156.4414661,162294600
2022-01-25,156.2068481,159.1202024,153.5085752,155.4247355,115798400
2022-01-26,156.118866,160.7137572,154.2906894,159.8436608,108275300
2022-01-27,155.6593475,160.1760252,154.7403665,158.8171105,121954600
2022-01-28,166.5209351,166.540492,159.1593286,162.0042563,179935700
2022-01-31,170.8713837,171.086465,165.7192328,166.3547058,115541600
2022-02-01,170.705246,170.9300984,168.4566772,170.1186576,86213900
2022-02-02,171.9077301,171.9468439,169.453866,170.8421091,84914300
2022-02-03,169.0334167,172.2987354,168.2708611,170.5780849,89418100
2022-02-04,168.749588,170.423484,167.075692,168.0545747,82465400
2022-02-07,168.0350189,170.2766539,167.3400056,169.2096753,77251200
2022-02-08,171.1380768,171.6471,167.8098664,168.1035342,74829200
2022-02-09,172.5574188,172.9196006,171.2065561,172.33228,71285000
2022-02-10,168.4852753,171.7743215,167.9273199,170.4626224,90865900
2022-02-11,165.0787354,169.4249758,164.4913999,168.690814,98670700
2022-02-14,165.3136749,165.9988897,163.0426604,163.8355529,86185500
2022-02-15,169.1411438,169.2977686,166.6547882,167.359585,62527400
2022-02-16,168.906189,169.6794996,166.4589826,168.2209742,61177400
2022-02-17,165.3136749,168.2796876,164.9123295,167.4182662,69589300
2022-02-18,163.7670746,166.9386449,162.6805142,166.2338631,82772700
2022-02-22,160.8499908,163.1699378,158.7258025,161.496042,91162800
2022-02-23,156.689743,162.641336,156.3764934,162.0442171,90009200
2022-02-24,159.3033752,159.4110529,148.7901697,149.3579235,141147500
2022-02-25,161.3687897,161.6330772,157.4728265,160.3801088,91974200
2022-02-28,161.6330872,161.9267549,158.9998906,159.6165914,95056600
2022-03-01,159.7536621,163.0818724,158.5496405,161.2219862,83474400
2022-03-02,163.0426788,163.8257879,159.5089121,160.9185054,79724800
2022-03-03,162.719635,165.3430479,162.0540021,164.9123372,76678400
2022-03-04,159.7242737,162.0540191,158.6768771,161.0164059,83737200
2022-03-07,155.9360046,161.5352144,155.6814856,159.9102657,96418800
2022-03-08,154.1152954,159.4404197,152.5099284,155.4661583,131148300
2022-03-09,159.5089264,159.959219,156.0436883,158.0699677,91454900
2022-03-10,155.1724548,157.0029603,152.686085,156.8169702,105342000
2022-03-11,151.4625092,155.9164282,151.2373703,155.5738133,96970100
2022-03-14,147.4393005,150.8653898,146.9302923,148.2517749,108732100
2022-03-15,151.8149109,152.2847853,147.2043818,147.7133901,92964300
2022-03-16,156.2198792,156.6212246,151.1982213,153.7335238,102300200
2022-03-17,157.2281494,157.6001297,154.3012994,155.2606004,75615400
2022-03-18,160.5171509,161.0065921,156.3862655,157.1204274,123511700
2022-03-21,161.8876038,162.837121,159.5676419,160.0570832,95811400
2022-03-22,165.2549591,165.8422797,161.4275248,162.0148453,81532000
2022-03-23,166.6156158,168.9942934,164.1096638,164.4424953,98062700
2022-03-24,170.394104,170.462618,166.6156165,167.4476578,90131400
2022-03-25,171.0303802,171.5785522,169.1019802,170.2081224,80546200
2022-03-28,171.8917694,172.019014,168.3677865,168.5341947,90371900
2022-03-29,175.1808472,175.2297794,172.6161644,172.9587794,100589400
2022-03-30,174.0159912,175.8171319,172.9685795,174.7795186,92633200
2022-03-31,170.9227295,174.2705069,170.7171575,174.0845168,103049300
2022-04-01,170.6290283,171.1869986,168.3090813,170.3549424,78751300
2022-04-04,174.671814,174.7207611,170.7562836,170.8835431,76468400
2022-04-05,171.363205,174.5347903,170.7367206,173.7516812,73401800
2022-04-06,168.2013855,169.963377,166.5372882,168.720192,89058800
2022-04-07,168.5048676,169.6991056,166.2632327,167.5455667,77594700
2022-04-08,166.4981537,168.1524678,165.6269487,168.1524678,76575500
2022-04-11,162.2497864,165.46052,162.0050657,165.1472854,72246700
2022-04-12,164.1194611,166.2827833,163.1209966,164.4718594,79265200
2022-04-13,166.8016205,167.4281049,163.2482861,163.8551887,70618900
2022-04-14,161.7994995,167.6532283,161.5547789,167.0169456,75329400
2022-04-18,161.584137,163.081826,160.1158133,160.4584132,69023900
2022-04-19,163.8649292,164.276073,160.4486387,161.5351989,67723800
2022-04-20,163.6985626,165.3137282,162.5924352,165.1962521,67929800
2022-04-21,162.9056396,167.9077303,162.4064149,165.3430627,87227800
2022-04-22,158.3733978,164.3250054,158.0895285,162.9447924,84882400
2022-04-25,159.4404144,159.7242838,155.1137548,157.7175714,96046400
2022-04-26,153.4887848,158.9117875,153.4104724,158.8236916,95623200
2022-04-27,153.2636871,156.415676,152.0988142,152.6176209,88063200
2022-04-28,160.1843414,161.0457629,155.573798,155.8870476,130216800
2022-04-29,154.3208466,162.6902964,153.9292995,158.4223673,131747600
2022-05-02,154.6242828,154.8885704,150.0333216,153.4006797,123055300
2022-05-03,156.1122131,157.3162496,153.0189551,154.8102973,88966500
2022-05-04,162.5140686,162.9643462,155.8968137,156.2981591,108256500
2022-05-05,153.4594574,160.6150881,151.6778836,160.3899493,130525300
2022-05-06,154.1848755,156.3023723,151.1458746,152.9398637,116124600
2022-05-09,149.0675812,152.7633948,148.5088061,151.8810971,131577900
2022-05-10,151.4693756,153.655502,149.9204668,152.4595093,115366700
2022-05-11,143.6170349,152.3909054,142.940611,150.4792823,142689800
2022-05-12,139.7545471,143.3229146,136.0685459,139.9604211,182602000
2022-05-13,144.2150116,145.1855347,140.2937279,141.7445987,113990900
2022-05-16,142.6758423,144.6168877,141.3426058,142.6856551,86643800
2022-05-17,146.3031311,146.8227001,143.7934964,145.9306043,78336300
2022-05-18,138.0487976,144.4600898,137.1468892,143.9601315,109742900
2022-05-19,134.6470947,138.8722758,133.911854,137.1273056,136095600
2022-05-20,134.8823242,137.9311223,130.0003312,136.3528053,137426100
2022-05-23,140.2937469,140.4407891,134.9411874,135.0784317,117726300
